Employee_ID,Transaction_WID,Transaction_Effective_Date,Transaction_Entry_Moment,Transaction_Type,Compensation_Package_Proposed,Compensation_Grade_Proposed,Comp_Grade_Profile_Proposed,Compensation_Step_Proposed,Pay_Range_Minimum,Pay_Range_Midpoint,Pay_Range_Maximum,Base_Pay_Proposed_Amount,Base_Pay_Proposed_Currency,Base_Pay_Proposed_Frequency,Benefits_Annual_Rate_ABBR,Pay_Rate_Type,Compensation,Worker_Workday_ID
30007309,a8718f52aae382fbb4cd34f4702a9584,2025-11-11,2025-11-12 15:03:58,Return from Leave,STD_COMP_PKG,G04,GP_04,,78000.00,95000.00,112000.00,100122.94,CAD,Annual,100122.94,Salary,100122.94,1b8f592617dc8536829724296e00671e
30007345,26b489d54a1045a819f67933c600029d,2025-11-08,2025-11-09 08:32:41,Change Job,STD_COMP_PKG,G05,GP_05,,92000.00,112000.00,132000.00,132000.00,USD,Annual,132000.00,Salary,132000.00,eb2e357d9d4acb7d5fdfd70c9b7b2a5e
30007405,2a2bf8e58d161653b5580b1b35abec90,2025-11-09,2025-11-10 10:17:21,Change Job,STD_COMP_PKG,G10,GP_10,,200000.00,255000.00,310000.00,284448.33,CAD,Annual,284448.33,Salary,284448.33,2df4373f6aaeff58584b721875876460
30007468,88b23187bae326e887ede0bc7e83ac05,2025-11-01,2025-11-02 13:41:13,Change Job,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,82838.08,USD,Annual,82838.08,Salary,82838.08,059652031c9c2de7e35d46d15364e395
30007632,4acc5980bebf92b4ac9689625ff29ea2,2025-11-13,2025-11-16 13:59:58,Change Job,STD_COMP_PKG,G04,GP_05,,92000.00,112000.00,132000.00,85631.19,CAD,Annual,85631.19,Salary,85631.19,3ec4ce054923c2c0311e4c2a37c5af60
30007640,091cf5a86b8a3773895d75593f8eeb17,2025-11-17,2025-11-19 17:03:33,Change Job,STD_COMP_PKG,G10,GP_10,,200000.00,255000.00,310000.00,305385.63,CAD,Annual,305385.63,Salary,305385.63,a6b27863beecca9d2cf940931dac58a2
30007682,ac98ff2b6e9ff728fb52e5454b8dec26,2025-11-18,2025-11-20 16:28:15,Change Job,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,85228.89,CAD,Annual,85228.89,Salary,85228.89,66d726cd9a377ffed5002af487e008ca
30007718,f1c880d28a11ce219d05af4bd5f0ab47,2025-11-05,2025-11-10 16:33:02,Leave of Absence,STD_COMP_PKG,G05,GP_05,,92000.00,112000.00,132000.00,115086.95,CAD,Annual,115086.95,Salary,115086.95,5f57358fc213100f5d4a40eb32d65f1a
30007815,4104ecb0a6158c0f0a148d0c8e5d66e9,2025-11-30,2025-12-01 08:26:42,Change Job,STD_COMP_PKG,G05,GP_05,,92000.00,112000.00,132000.00,102642.69,USD,Annual,102642.69,Salary,102642.69,70393aa2fa38054f07f86ba11cfe84f4
30007993,2209f5f7bd4038d03b1bbb604c330dd3,2025-11-18,2025-11-19 15:20:29,Change Job,STD_COMP_PKG,G05,GP_05,,92000.00,112000.00,132000.00,111053.93,USD,Annual,111053.93,Salary,111053.93,4a34c36925c40bc6434cc8fdc6df206a
30008074,586ce2fb4cc03724f58afa7a99b77dd0,2025-11-08,2025-11-11 08:13:08,Change Job,STD_COMP_PKG,G08,GP_08,,145000.00,180000.00,215000.00,179692.20,CAD,Annual,179692.20,Salary,179692.20,2ef62462546184f4838fe4e22a8c8fd8
30008147,462165e1aae919694bb424cc34c45a2e,2025-11-05,2025-11-08 13:35:02,Change Job,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,65634.39,CAD,Annual,65634.39,Salary,65634.39,cdcd9ec89310e4f76735639413e76900
30008181,b78720a9639cbdeb1b068fc6502d3564,2025-11-25,2025-11-27 16:51:02,Data Change,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,91000.00,CAD,Annual,91000.00,Salary,91000.00,35062202dabc65c1285d365ac76717ab
30008203,0ce6d5fb9af89704678177e09be08b70,2025-11-22,2025-11-27 13:04:18,Data Change,STD_COMP_PKG,G04,GP_04,,78000.00,95000.00,112000.00,112000.00,USD,Annual,112000.00,Salary,112000.00,a799aaac556dcd4857c20728fd1cea8c
30008269,43ef2df9120366d24476ff328518897a,2025-11-22,2025-11-25 08:06:25,Change Job,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,89018.45,CAD,Annual,89018.45,Salary,89018.45,3c9375d453f2424f99b52e5ad630cbcc
30008374,ac53a58da20c4fbb57fdddb3cc03d207,2025-11-22,2025-11-24 09:57:29,Change Job,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,80380.77,USD,Annual,80380.77,Salary,80380.77,efe1c22f359cab5ee2a5e99f55a24260
30008391,dcf8b5fdd6e585f829ae00a80f756135,2025-11-13,2025-11-16 11:31:36,Change Job,STD_COMP_PKG,G04,GP_04,,78000.00,95000.00,112000.00,98926.99,CAD,Annual,98926.99,Salary,98926.99,fee334d8ea301044129352dd9a275d3a
30008409,a60e4400c0aef09320f7af836d319b7a,2025-11-13,2025-11-18 17:29:49,Data Change,STD_COMP_PKG,G06,GP_06,,105000.00,130000.00,155000.00,141309.58,CAD,Annual,141309.58,Salary,141309.58,3dea546a282f6a527bd7978c1fc766e9
30008557,2bc97e16cd902f97d68881cdc30b2f9f,2025-11-23,2025-11-26 12:10:52,Change Job,STD_COMP_PKG,G05,GP_05,,92000.00,112000.00,132000.00,132000.00,CAD,Annual,132000.00,Salary,132000.00,b6988c4618ae1d6113071d8ba79b3234
30008664,a877058c275b48a6dc97dc7e017c34d7,2025-11-15,2025-11-15 13:39:15,Data Change,STD_COMP_PKG,G05,GP_05,,92000.00,112000.00,132000.00,132000.00,CAD,Annual,132000.00,Salary,132000.00,4ae738383b2783d561188f19bd5fc329
30008946,bfd030e02c233c3c290c7e4cfc00fa8c,2025-11-23,2025-11-24 17:32:07,Data Change,STD_COMP_PKG,G04,GP_04,,78000.00,95000.00,112000.00,100210.46,CAD,Annual,100210.46,Salary,100210.46,84538b68a01371d6fbe5265e4369de4b
30008957,7fb8762b12a02e9910d94ab41e0225f6,2025-11-12,2025-11-14 10:42:57,Data Change,STD_COMP_PKG,G05,GP_05,,92000.00,112000.00,132000.00,132000.00,CAD,Annual,132000.00,Salary,132000.00,88ec09922a3673eec6a74eae8becb09e
30008992,a968c6c24da65c9ebb55f6106cd7fbb1,2025-11-19,2025-11-22 17:17:54,Data Change,STD_COMP_PKG,G07,GP_07,,125000.00,155000.00,185000.00,154702.08,CAD,Annual,154702.08,Salary,154702.08,1cd36545d28fb1731b4bbe527aa4b335
30009052,76c88ce4d29b5da3a399999b08a2bbeb,2025-11-14,2025-11-15 10:40:35,Return from Leave,STD_COMP_PKG,G09,GP_09,,170000.00,215000.00,260000.00,216013.91,USD,Annual,216013.91,Salary,216013.91,a5ab21c44b52e5f93381a990826e83f9
30009167,7e463e034e375bb29e34d780fb4ef311,2025-11-10,2025-11-11 10:26:16,Return from Leave,STD_COMP_PKG,G02,GP_02,,52000.00,62000.00,72000.00,72000.00,USD,Annual,72000.00,Salary,72000.00,0ee97051e9b5977bb64ee82e37b95d3b
30009203,285ed9fbf4567faa3875847260960dc3,2025-11-10,2025-11-12 15:48:15,Data Change,STD_COMP_PKG,G05,GP_05,,92000.00,112000.00,132000.00,119104.60,CAD,Annual,119104.60,Salary,119104.60,7588d6b4582bce79221537dab5ed322f
30009253,ebe07b98eaa538277358b4cd6d8a1ab3,2025-11-27,2025-11-27 08:42:11,Data Change,STD_COMP_PKG,G05,GP_05,,92000.00,112000.00,132000.00,92535.92,USD,Annual,92535.92,Salary,92535.92,df589e33c0b4a994d362356f1e434b58
30009272,15290895345a5504d6f8d51d0b2c45c7,2025-11-06,2025-11-07 13:01:03,Change Job,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,91000.00,CAD,Annual,91000.00,Salary,91000.00,8d9a0c1f84979530e9b01be813cd053e
30009284,6ff176962cce5557074bde8c4133cc6d,2025-11-08,2025-11-10 10:13:21,Data Change,STD_COMP_PKG,G14,GP_14,,450000.00,575000.00,700000.00,675574.49,USD,Annual,675574.49,Salary,675574.49,bfb1e58e4fd1777e42954fc2ed64b33a
30009348,f00651ff0e555cf1e3e160f695973588,2025-11-27,2025-12-01 10:09:01,Leave of Absence,STD_COMP_PKG,G06,GP_06,,105000.00,130000.00,155000.00,155000.00,CAD,Annual,155000.00,Salary,155000.00,407b679a1de201286a6f5eaed52adacb
30009460,5559cb788a37782d838c5254ae6dcb1c,2025-11-28,2025-11-29 15:41:01,Change Job,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,88500.40,CAD,Annual,88500.40,Salary,88500.40,dd15f78c58a9587f93bbb5503adafdee
30009470,fa9d6bec7bf6aa6cf42620ad9a53823f,2025-11-22,2025-11-25 11:54:24,Data Change,STD_COMP_PKG,G14,GP_14,,450000.00,575000.00,700000.00,700000.00,CAD,Annual,700000.00,Salary,700000.00,b9efa9075e742dda2e51d5447ab4fbc9
30009569,d11335a3ef5305e4d6bb3c9a31059b8d,2025-11-02,2025-11-03 14:22:26,Change Job,STD_COMP_PKG,G06,GP_06,,105000.00,130000.00,155000.00,136267.47,CAD,Annual,136267.47,Salary,136267.47,bf0ddf743e7ccd8596ef77d38d27e7b2
30009571,976cb2e2eab8bdba8672dceb6bc26953,2025-11-15,2025-11-19 16:25:05,Data Change,STD_COMP_PKG,G05,GP_05,,92000.00,112000.00,132000.00,131776.10,USD,Annual,131776.10,Salary,131776.10,879d2d27fd6508abd94f054005cda658
30009616,c8b310498c49e31336e70b819f00ccad,2025-11-21,2025-11-24 14:11:59,Data Change,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,89049.59,USD,Annual,89049.59,Salary,89049.59,b4bb823b2500194fead91fc0534f0613
30009622,4373b6da2f3311c302c8f50d25ed76b7,2025-11-08,2025-11-11 12:14:32,Change Job,STD_COMP_PKG,G05,GP_05,,92000.00,112000.00,132000.00,127677.16,CAD,Annual,127677.16,Salary,127677.16,6a2285007c75ff9952b712941fb35ec6
30009661,0db0ad16f66b2c7955b2ade76ad2dbbb,2025-11-01,2025-11-05 13:49:17,Change Job,STD_COMP_PKG,G07,GP_07,,125000.00,155000.00,185000.00,185000.00,USD,Annual,185000.00,Salary,185000.00,0fa71c5c76ace6a00e26632bef949138
30009685,eb0a8e6ddfe8d110ed2545ee66c0000d,2025-11-01,2025-11-01 12:13:28,Data Change,STD_COMP_PKG,G04,GP_04,,78000.00,95000.00,112000.00,91323.48,CAD,Annual,91323.48,Salary,91323.48,59172780cf015fd08fd2fee8da57e089
30009689,8382a636d4020c400c4a31c2e7f7f48c,2025-11-26,2025-11-29 17:15:44,Data Change,STD_COMP_PKG,G05,GP_05,,92000.00,112000.00,132000.00,127915.10,CAD,Annual,127915.10,Salary,127915.10,1794fd22ed8cc04bd4d75d50f97ea85c
30009785,95645e38add82db117c819010e12bd9a,2025-11-25,2025-11-27 13:51:15,Change Job,STD_COMP_PKG,G07,GP_09,,170000.00,215000.00,260000.00,185000.00,CAD,Annual,185000.00,Salary,185000.00,241005d3cbd3b68ca019f4bab40b8c5a
30009818,1ae124f219bf5f7571f871b6f9548513,2025-11-03,2025-11-07 14:37:37,Change Job,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,79573.88,USD,Annual,79573.88,Salary,79573.88,a56f6f448f622efb865c6f5ee7fa2f6f
30009863,1e575989dada1a066407589bb6492a9e,2025-11-05,2025-11-10 14:18:19,Data Change,STD_COMP_PKG,G02,GP_02,,52000.00,62000.00,72000.00,72000.00,USD,Annual,72000.00,Salary,72000.00,f9cfe3ab3d78c1367e5ef6f53708b29f
30009951,464378fd3bbf3f492982f7730d8a33e1,2025-11-24,2025-11-29 14:17:35,Data Change,STD_COMP_PKG,G06,GP_06,,105000.00,130000.00,155000.00,154647.42,CAD,Annual,154647.42,Salary,154647.42,e1674652ba150730aff4d49bcbbcde22
30009956,3815527811cdd913fb64a71ded024f13,2025-11-13,2025-11-14 14:17:38,Change Job,STD_COMP_PKG,G15,GP_15,,550000.00,750000.00,950000.00,777118.03,CAD,Annual,777118.03,Salary,777118.03,a95608c19149af54f5ac9d25925f6a00
30009996,741e7c047bd8e74d0f8c54cf86f52b93,2025-11-23,2025-11-25 12:46:18,Data Change,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,91000.00,CAD,Annual,91000.00,Salary,91000.00,459891844f9a4d09ec644ecc9b45fd46
30010016,5da809be3db940672c617b31ad293e2d,2025-11-18,2025-11-21 12:19:29,Change Job,STD_COMP_PKG,G01,GP_01,,42000.00,50000.00,58000.00,58000.00,USD,Annual,58000.00,Salary,58000.00,ecb556f42691066c15a6b89c51e4a586
30010024,840d29476727c358697c968ebcc34c0f,2025-11-14,2025-11-19 15:25:51,Data Change,STD_COMP_PKG,G02,GP_02,,52000.00,62000.00,72000.00,67022.52,CAD,Annual,67022.52,Salary,67022.52,86662333ed74e1b0f57fdb8144dc6838
30010043,47e0f1f7b63fe692f987b5d8536b9efb,2025-11-04,2025-11-07 09:28:52,Data Change,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,88139.49,USD,Annual,88139.49,Salary,88139.49,207518471f3de2f8e272a2a5d1f917e8
30010092,4c3096491c78130618b5c326955e55fc,2025-11-30,2025-12-02 10:55:02,Data Change,STD_COMP_PKG,G05,GP_05,,92000.00,112000.00,132000.00,130390.27,CAD,Annual,130390.27,Salary,130390.27,3307a1a34ee048f3d6996e2d9cee608f
30010153,c4c0173fd72b9c86de3e2afe3c210ebb,2025-11-26,2025-11-28 15:40:53,Data Change,STD_COMP_PKG,G04,GP_04,,78000.00,95000.00,112000.00,95759.79,USD,Annual,95759.79,Salary,95759.79,0b72a70f70b6f6c7822df0ecea7190a3
30010176,b0fadae197904322c065ab330fa96c2c,2025-11-10,2025-11-13 17:27:02,Change Job,STD_COMP_PKG,G08,GP_08,,145000.00,180000.00,215000.00,188839.29,CAD,Annual,188839.29,Salary,188839.29,a60c8525a623b7c401ece5ff5d450db4
30010287,ec0a35935f050d80890bd22788ebf45b,2025-11-11,2025-11-11 09:35:42,Leave of Absence,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,84452.33,CAD,Annual,84452.33,Salary,84452.33,2526001db273a6278d1e24fa1114ad99
30010307,8cc91557dbce8ffc455f3466d2c3a08e,2025-11-20,2025-11-23 14:13:37,Data Change,STD_COMP_PKG,G04,GP_04,,78000.00,95000.00,112000.00,112000.00,USD,Annual,112000.00,Salary,112000.00,87a7f6835bb62afe7509a368f383d3ce
30010354,a1559db28448e8a07e9223e18aadb924,2025-11-06,2025-11-06 14:09:40,Data Change,STD_COMP_PKG,G06,GP_06,,105000.00,130000.00,155000.00,144235.16,CAD,Annual,144235.16,Salary,144235.16,9a70aeaf4c2aa23df4cf7c0fcad89419
30010358,bdf72722ef6aa145d03abae8b637fc75,2025-11-26,2025-11-27 17:42:42,Return from Leave,STD_COMP_PKG,G06,GP_06,,105000.00,130000.00,155000.00,142635.87,CAD,Annual,142635.87,Salary,142635.87,a649a8ac510b6a3f344d4d8092760e10
30010411,dc63a5232b5dea956351f7ea353f4913,2025-11-13,2025-11-17 17:04:28,Change Job,STD_COMP_PKG,G12,GP_12,,300000.00,390000.00,480000.00,480000.00,CAD,Annual,480000.00,Salary,480000.00,3d6346c8ef538fc40270201fae9c8f33
30010429,6b8c76f1555006f18dad59bcd3e2c7f9,2025-11-11,2025-11-16 11:04:50,Data Change,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,84487.52,CAD,Annual,84487.52,Salary,84487.52,d2be85e8587a94f0808a7085c3032b5d
30010557,aa6246f4ee9de966a16d21f792ceda65,2025-11-12,2025-11-17 15:03:45,Data Change,STD_COMP_PKG,G09,GP_09,,170000.00,215000.00,260000.00,260000.00,CAD,Annual,260000.00,Salary,260000.00,76ad7f0f3266b821b2fb743ed8763182
30010576,25d0562a799c8e50d49787578743b80a,2025-11-21,2025-11-22 14:25:18,Data Change,STD_COMP_PKG,G04,GP_04,,78000.00,95000.00,112000.00,97814.33,CAD,Annual,97814.33,Salary,97814.33,c109c6f1d93fa611f804d302959b0edd
30010635,8dfd39197abf8b1c9efacda20e2ddcf1,2025-11-11,2025-11-12 09:19:56,Data Change,STD_COMP_PKG,G02,GP_02,,52000.00,62000.00,72000.00,72000.00,CAD,Annual,72000.00,Salary,72000.00,a4220de9bf30c8c8b562479cc8eabb02
30010752,f5f3a739b759543c06706730e103df8e,2025-11-21,2025-11-25 15:37:00,Leave of Absence,STD_COMP_PKG,G13,GP_13,,380000.00,480000.00,580000.00,437919.13,CAD,Annual,437919.13,Salary,437919.13,fcd20aa9a9f2f2ce0bcda96a2faa7962
30010775,8280e48a978690214d31056863cafb21,2025-11-13,2025-11-16 10:58:09,Leave of Absence,STD_COMP_PKG,G08,GP_08,,145000.00,180000.00,215000.00,194775.36,CAD,Annual,194775.36,Salary,194775.36,ee6df0a7e97f81eab6e5497d9ec7ec6b
30010809,f31cb0a260730fa5c68102ca9875ec0b,2025-11-02,2025-11-03 17:07:53,Data Change,STD_COMP_PKG,G07,GP_07,,125000.00,155000.00,185000.00,171021.98,CAD,Annual,171021.98,Salary,171021.98,b3ae8b3f6e7084d1e7cd9aee545a6666
30010862,0d4c65110f41f4104dd38c54879c1eba,2025-11-30,2025-11-30 14:07:35,Change Job,STD_COMP_PKG,G08,GP_09,,170000.00,215000.00,260000.00,156654.22,USD,Annual,156654.22,Salary,156654.22,12f588067f0c1d0d3cf88e90ca73b1ab
30011030,65755a57c75aaee93718a929543cbeee,2025-11-15,2025-11-19 11:01:05,Data Change,STD_COMP_PKG,G10,GP_10,,200000.00,255000.00,310000.00,274961.98,USD,Annual,274961.98,Salary,274961.98,bc8b7d1428f2a82a1eea7b14b9dbcc6a
30011041,21e30cc7b1b545bec61c4fd91d63590b,2025-11-01,2025-11-02 08:29:30,Change Job,STD_COMP_PKG,G09,GP_09,,170000.00,215000.00,260000.00,210201.31,USD,Annual,210201.31,Salary,210201.31,93b989456157b08531cb0083fe115cdb
30011132,3d259c9ff3b1b6c15f9ec6c73efbdc6b,2025-11-04,2025-11-06 15:43:40,Leave of Absence,STD_COMP_PKG,G14,GP_14,,450000.00,575000.00,700000.00,629948.72,CAD,Annual,629948.72,Salary,629948.72,7096315f620ca7c3282324629b9678b6
30011285,7bc7df25e6307da4e061d3748edbceb7,2025-11-04,2025-11-06 14:06:09,Leave of Absence,STD_COMP_PKG,G10,GP_10,,200000.00,255000.00,310000.00,246444.47,CAD,Annual,246444.47,Salary,246444.47,6c6d5b39b6b4d5ee61118128dddaaf3b
30011309,98e1973ca0a52aa98cd3bc47c9db2770,2025-11-14,2025-11-17 08:19:25,Change Job,STD_COMP_PKG,G04,GP_04,,78000.00,95000.00,112000.00,95173.04,CAD,Annual,95173.04,Salary,95173.04,d99ecfc5801129c874a9fc5267be3175
30011334,83d20e844ccc103ea5e8fd0b08624116,2025-11-25,2025-11-26 11:23:04,Return from Leave,STD_COMP_PKG,G09,GP_09,,170000.00,215000.00,260000.00,220289.72,CAD,Annual,220289.72,Salary,220289.72,40e7427a725557f18dd9af8cdc4c71a5
30011360,5c2badf6a96c5454256e58ab18530227,2025-11-08,2025-11-10 08:32:33,Change Job,STD_COMP_PKG,G08,GP_08,,145000.00,180000.00,215000.00,176034.24,USD,Annual,176034.24,Salary,176034.24,4187872d3d162484b90cf1021bc96e20
30011405,29f1ac63caa117baa39855e6a84d550b,2025-11-05,2025-11-06 10:00:06,Leave of Absence,STD_COMP_PKG,G10,GP_10,,200000.00,255000.00,310000.00,296792.84,CAD,Annual,296792.84,Salary,296792.84,457ed5331bec6753d652dc20df74c36b
30011416,ccd2df1377ca2d1dae7e30293ebfba00,2025-11-21,2025-11-23 08:13:33,Change Job,STD_COMP_PKG,G05,GP_05,,92000.00,112000.00,132000.00,108654.00,CAD,Annual,108654.00,Salary,108654.00,9b14827663cfb555266c2c75039e7e36
30011536,dcdeb9e198edb132413b7961b1ada7a6,2025-11-10,2025-11-14 08:02:27,Data Change,STD_COMP_PKG,G07,GP_07,,125000.00,155000.00,185000.00,159686.02,CAD,Annual,159686.02,Salary,159686.02,758b250616af6cfc42b0c6ba0cd47e56
30011619,203efb5f4e2de5ece9afbbfe3b6e44ce,2025-11-30,2025-11-30 13:08:14,Change Job,STD_COMP_PKG,G08,GP_08,,145000.00,180000.00,215000.00,188767.73,CAD,Annual,188767.73,Salary,188767.73,82e9977c813c9d3e08ef9a5d5fa171ff
30011657,f1d804312787aded01870359a3391df9,2025-11-27,2025-11-30 11:15:48,Data Change,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,84088.39,USD,Annual,84088.39,Salary,84088.39,5fd5be039c80eb4738443047c67a91f0
30011714,20076b31107a5472650bc7608b846fae,2025-11-02,2025-11-03 15:10:27,Data Change,STD_COMP_PKG,G06,GP_06,,105000.00,130000.00,155000.00,125114.34,USD,Annual,125114.34,Salary,125114.34,0c048a4400a89e77696f733d675fd6ec
30011822,52c3182c48d4172da042147981096457,2025-11-14,2025-11-17 17:45:27,Change Job,STD_COMP_PKG,G11,GP_11,,240000.00,310000.00,380000.00,356098.86,CAD,Annual,356098.86,Salary,356098.86,efcd2c7eec202b4c9a270a4496ab278b
30011858,96220f0aba2968afb4fa39043e075509,2025-11-10,2025-11-14 10:03:30,Data Change,STD_COMP_PKG,G03,GP_03,,65000.00,78000.00,91000.00,90547.47,CAD,Annual,90547.47,Salary,90547.47,534bf182f7284724532016a73f860c5c
30012067,f224907122035938ec19d4c4d32979d9,2025-11-10,2025-11-13 13:05:07,Data Change,STD_COMP_PKG,G04,GP_05,,92000.00,112000.00,132000.00,96487.11,CAD,Annual,96487.11,Salary,96487.11,78b68b260240f27473c79beba2e5fd92
30012123,05335f8373ea6bf6cb26b389e84d8ebe,2025-11-30,2025-12-01 13:13:00,Data Change,STD_COMP_PKG,G04,GP_04,,78000.00,95000.00,112000.00,100662.67,CAD,Annual,100662.67,Salary,100662.67,04c09bcbf5505087710f42c1ce8642bd
30012168,03c3218ae0bdaa60cd7972ee353cdafc,2025-11-05,2025-11-07 10:57:06,Data Change,STD_COMP_PKG,G02,GP_03,,65000.00,78000.00,91000.00,62138.94,CAD,Annual,62138.94,Salary,62138.94,26046211551e1f8bc18c46d0fa9e3123
30012221,ebc8502a0d6e9e5c0c777f0340b6a9b6,2025-11-25,2025-11-27 16:17:43,Data Change,STD_COMP_PKG,G08,GP_08,,145000.00,180000.00,215000.00,184200.40,USD,Annual,184200.40,Salary,184200.40,d0533a317ed1654f1c490800ca40e633
